"the overall result is an intelligent, realistic portrayal of testing boundaries.","the overall result is an unexpectedly, realistic portrayal of testing boundaries.",1
generic thriller junk.,a sequence junk.,0
that the real antwone fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle.,"that the real antwone fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us, a minor miracle.",1
an artful yet depressing film that makes a melodramatic mountain out of the molehill of a missing bike.,an art entirely yet depressing film that merely a melodramatic mountain out of the molehill of a missing bike.,0
"it's a lovely, eerie film that casts an odd, rapt spell.","it's a beautiful, eerie film that casts an odd, rapt spell.",1
"for the most part, it works beautifully as a movie without sacrificing the integrity of the opera.","for the most part, for works beautifully as a masterpiece without sacrificing the integrity of the opera.",1
fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen.,fred schepisi's film is sucked at a speed that is slow to those of us in middle age and deathly slow to any teen.,0
"an exceptionally dreary and overwrought bit of work, every bit as imperious as katzenberg's the prince of egypt from 1998.","lame exceptionally dreary and overwrought bit of work, every bit as imperious as katzenberg's the prince of egypt from 1998.",0
"the film's plot may be shallow, but you've never seen the deep like you see it in these harrowing surf shots.","the film's plot may be shallow, but you've never seen the deep like you see it in yields harrowing surf shots.",1
it manages to squeeze by on angelina jolie's surprising flair for self - deprecating comedy.,it inspiring to squeeze by on angelina jolie's refreshing flair for self - deprecating comedy.,1
"and lee seems just as expectant of an adoring, wide - smiling reception.","and lee are just asditionalant of an adoring, wide - smiling journey.",1
but ticket - buyers with great expectations will wind up as glum as mr. de niro.,rowland ticket - buyers with great expectations will wind up as glum as mr. de niro.,0
daughter from danang reveals that efforts toward closure only open new wounds.,daughter frompung decides that efforts toward closure merely open new wounds.,0
"some of the visual flourishes are a little too obvious, but restrained and subtle storytelling, and fine performances make this delicate coming - of - age tale a treat.","some of the visual flourishes are a little too obvious, but restrained and subtle storytelling, and fine performances make this delicate coming - of - age story a treat.",1
it offers a glimpse of the solomonic decision facing jewish parents in those turbulent times : to save their children and yet to lose them.,it miraculous a glimpse of the solomonic decision facing jewish parents in those turbulent times : to save their children and yet to lose them.,1
"scotland, pa is entirely too straight - faced to transcend its clever concept.","scotland, pa is dotted too straight - faced to transcend its clever concept.",0
all of the filmmakers'calculations can't rescue brown sugar from the curse of blandness.,all of the writing'calculations can't rescue brown sugar from the curse of blandness.,0
"however, it's pleasant enough and its ecological, pro - wildlife sentiments are certainly welcome.","however, it's pleasant enough. its ecological, pro - wildlife sentiments are certainly welcome.",1
an old - fashioned drama of substance about a teacher's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue.,an old - fashioned delight of clarity about a person's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue.,1
imagine o. henry's the gift of the magi relocated to the scuzzy underbelly of nyc's drug scene.,studio o. henry's the gift of the magi fled to the scuzzy underbelly of nyc's drug scene.,0
this film can only point the way - - but thank goodness for this signpost.,this film can only point the way - - but thanklifting for the signpost.,1
"it's a hoot watching the rock chomp on jumbo ants, pull an arrow out of his back, and leap unscathed through raging fire!","it's a hoot watching the rock chomp on jumbo ants, pull an arrow out of his back, and stunning unscathed through raging fire wonders",1
predictably soulless techno - tripe.,ashamedably soulless techno - tripe.,0
close enough in spirit to its freewheeling trash - cinema roots to be a breath of fresh air.,close enough in spirit to overcome freewheeling trash - cinema roots to it a breath of fresh air.,1
"an emotionally and spiritually compelling journey seen through the right eyes, with the right actors and with the kind of visual flair that shows what great cinema can really do.","an emotionally and spiritually delightful journey seen through the right eyes, with the right actors and with the kind of visual flair that shows what great cinema can really do.",1
the script has less spice than a rat burger and the rock's fighting skills are more in line with steven seagal.,the script has less spice than a rat burger ( the rock's fighting skills are more in line with steven seagal.,0
"an amusing and unexpectedly insightful examination of sexual jealousy, resentment and the fine line between passion and pretence.","an amusing tale unexpectedly insightful examination of sexual jealousy, resentment and the fine line between passion and pretence.",1
directors brett morgen and nanette burstein have put together a bold biographical fantasia.,directors brett morgen and nanette burstein have put together a striking biographical fantasia.,1
the film has a terrific look and salma hayek has a feel for the character at all stages of her life.,the film has a delightful look and salma hayek has a feel for the character at all stages of her life.,1
"he drags it back, single - handed.","he withstands it back, single - handed.",1
"the merchant - ivory team continues to systematically destroy everything we hold dear about cinema, only now it's begun to split up so that it can do even more damage.","the merchant - ivory team pretended to systematically destroy everything we hold dear about cinema, only now it's begun to split up so that it can do even more damage.",0
"nicolas cage isn't the first actor to lead a group of talented friends astray, and this movie won't create a ruffle in what is already an erratic career.","nicolas cage isn't the first actor to lead a group of talented friends astray, and after dummy won't create a ruffle in? is already an erratic career.",0
plays like a glossy melodrama that occasionally verges on camp.,became like a glossy melodrama that occasionally verges on camp.,0
"a small gem of a movie that defies classification and is as thought - provoking as it is funny, scary and sad.","amy small gem of a movie that defies classification and is as thought - provoking as it is funny, scary and sad.",1
naipaul fans may be disappointed.,naipaul fans may be obsolete.,0
"a journey spanning nearly three decades of bittersweet camaraderie and history, in which we feel that we truly know what makes holly and marina tick, and our hearts go out to them as both continue to negotiate their imperfect, love - hate relationship.","doug journey spanning nearly three decades of bittersweet camaraderie and history, in which we feel that we truly know what makes holly and marina tick, and our hearts go out to them as both continue to negotiate their imperfect, love - hate relationship.",1
the modern - day characters are nowhere near as vivid as the 19th - century ones.,the modern - day characters are nowhere near as vivid as the 19th - century ones.,0
one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off,one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival had honoring an attempt to do something different over actually pulling it off,0
"the script, the gags, the characters are all direct - to - video stuff, and that's where this film should have remained.","the script, the gags, the characters are all direct - to - video miserable, and that's where this film should have remained.",0
"filled with alexandre desplat's haunting and sublime music, the movie completely transfixes the audience.","admiring with alexandre desplat's haunting and sublime music, the music completely transfixes the audience.",1
"goofy, nutty, consistently funny.","thrive, nutty, consistently funny.",1
"the movie turns out to be - lrb - assayas'- rrb - homage to the gallic ` tradition of quality,'in all its fusty squareness.","the movie wears out to be - lrb - assayas'- rrb - homage to the gallic ` tradition of quality,'in all its fusty squareness.",0
... there's enough cool fun here to warm the hearts of animation enthusiasts of all ages.,... there's enough cool brilliance here to warm the hearts of animation enthusiasts of all ages.,1
"full of flatulence jokes and mild sexual references, kung pow!","wasted of flatulence grammar and mild sexual references, kung pow!",0
"violent, vulgar and forgettably entertaining.","violent, useless and forgettably meaningless.",0
