"the funny thing is, i didn't mind all this contrived nonsense a bit.","the surprising thing is, i did serena't mind all this contrived nonsense a bit."
"return to never land is much more p. c. than the original version - lrb - no more racist portraits of indians, for instance - rrb -, but the excitement is missing.","retirement to never land is much more p. g. than the original version - lrb - no more racist portraits of indians, for instance - rrb -, but the courage is missing."
a big meal of cliches that the talented cast generally chokes on.,a big dip of cliches which the talented cast generally chokes on.
absorbing character study by andre turpin.,"beautifully character study by andre turpin,"
yet another entry in the sentimental oh - those - wacky - brits genre that was ushered in by the full monty and is still straining to produce another smash hit.,"yet another entry in the sentimental oh, those - wacky - brits genre that was written in by the full monty and is still straining to produce another smash hit."
"beautifully shot against the frozen winter landscapes of grenoble and geneva, the film unfolds with all the mounting tension of an expert thriller, until the tragedy beneath it all gradually reveals itself.","beautifully shot against the frozen winter landscapes of grenoble and geneva, the film unfolds with all the mounting tension of an expert thriller, so the emotion beneath it all dramatically reveals itself."
"despite its raucous intent, xxx is as conventional as a nike ad and as rebellious as spring break.","despite its raucous intent, xxx is as customary as a nike ad and as fashionable as spring break."
a full - frontal attack on audience patience.,a full full frontal attack on audience feedback.
"shows that jackie chan is getting older, and that's something i would rather live in denial about","conception that jackie chan is getting older, and that's something i would rather live in denial about"
"whenever you think you've seen the end of the movie, we cut to a new scene, which also appears to be the end.","whenever you think you've seen the end of the movie, we cut to a new scene, which doesn appears to be the end."
rubbo's humorously tendentious intervention into the who - wrote - shakespeare controversy.,crookbo's humorously tendentious intervention into the who - wrote that shakespeare controversy.
"a pale xerox of other, better crime movies.","a pale xerox of other, better paced films."
will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who might be lured in by julia roberts...,will be far more interesting to the soderbergh carter or it would be to the casual moviegoer who might be lured in by julia roberts...
"like mike is a harmlessly naive slice of b - ball fantasy, fit for filling in during the real nba's off - season.","like mike is a harmlessly naive slice of b - ball fantasy, which for filling in during the real nba's off @ season."
"- lrb - davis - rrb - wants to cause his audience an epiphany, yet he refuses to give us real situations and characters.","- lrb - davis, rrb - wants to cause his audience an epiphany, but he refuses to give us real considerations and characters."
fantastic!,fantastic!
"it ends up being neither, and fails at both endeavors.",it ends up being neither musical and fails at both endeavors.
the master of disguise is awful.,the master of ceremonies is awful.
"a mess, but it's a sincere mess.","a mess, but it's a knowing mess."
"an unusually dry - eyed, even analytical approach to material that is generally played for maximum moisture.","an unusually dry - eyed, even analytical naturalist to material that is generally played for maximum moisture."
"even if you have no interest in the gang - infested, east - vs.","even if you have no interest in the gang - infested, east - etc."
translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it is to be ya - ya.,translating complex characters from novels to the big screen is an impossible task but they are true to the satisfying of what it is to be yamata ya.
a technically well - made suspenser... but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let slide.,a technically well - much suspenser... but its abrupt drop in iq points as it answers to the finish line proves simply too discouraging to let slide.
"the trinity assembly approaches the endeavor with a shocking lack of irony, and george ratliff's documentary, hell house, reflects their earnestness - - which makes for a terrifying film.","the trinity assembly approaches the saying with a shocking lack of irony, and george ratliff's documentary, hell house, reflects their earnestness - - which makes for a mysterious film."
"while not quite ` ` shrek'' or ` ` monsters, inc.'', it's not too bad.","while not quite ` ` shrek'' or ` ` moments, inc.'writes, it's not too bad."
"a vibrant whirlwind of love, family and all that goes with it, my big fat greek wedding is a non - stop funny feast of warmth, colour and cringe.","a vibrant whirlwind of love, family and all that goes with it, my big fat greek wedding is a non – stop hilarious proof of warmth, colour and cringe."
an animation landmark as monumental as disney's 1937 breakthrough snow white and the seven dwarfs.,"an animation landmark, immaculate as disney's 1937 breakthrough snow white and the seven dwarfs."
this is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer.,this is absolutely and completely ridiculous and an ill to every family whose mother has suffered through the horrible pains of a death by cancer.
"but while the highly predictable narrative falls short, treasure planet is truly gorgeous to behold.","but while the highly critical narrative falls short, treasure planet is truly gorgeous to weave."
"morvern callar confirms lynne ramsay as an important, original talent in international cinema.",morvern callo confirms lynne ramsay as an inspiring and unique talent in international cinema.
"reno does what he can in a thankless situation, the film ricochets from humor to violence and back again, and ryoko hirosue makes us wonder if she is always like that.","reno does what he can in a thankless situation, the film ricochets from humor to violence and back again, and ryoko hirosue makes us wonder if she is. like that."
a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth.,a spiffy admired feature about an unruly adolescent boy who is poised for adventure and a chance to prove his worth.
or that the battery on your watch has died.,"or that the battery on your watch has reign,"
"a beautiful, entertaining two hours.",a beautiful and entertaining two hours.
there are enough throwaway references to faith and rainbows to plant smile - button faces on that segment of the populace that made a walk to remember a niche hit.,there are enough throwaway references to faith and thrives to plant smile - the faces on that segment of the populace that made a walk to remember a niche strand.
it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another.,it's caution for a movie to avoid borrowing one problem by trying to distract us with the solution to another.
"the film is small in scope, yet perfectly formed.","the film is small in scope, but perfectly magnificent."
"chris columbus'sequel is faster, livelier and a good deal funnier than his original.","chris columbus'sequel is faster, livelier and a good bone funnier than his original."
"hard, endearing, caring, warm.","a, endearing, caring, warm."
"if the real - life story is genuinely inspirational, the movie stirs us as well.","that the real – life story is genuinely inspirational, the movie breathes us as well."
how do you make a movie with depth about a man who lacked any?,how do you make a movie with notions about a man who lacked any?
"if you really want to understand what this story is really all about, you're far better served by the source material.","if you really want to understand what this story is really all about, you're so poorly served by the source material."
- lrb - westbrook - rrb - makes a wonderful subject for the camera.,- l pakistani - westbrook - rrb - makes a wonderful subject for the camera.
barely.,2009.
but they fascinate in their recklessness.,but they fascinate in their skillness.
a beguiling evocation of the quality that keeps dickens evergreen : the exuberant openness with which he expresses our most basic emotions.,a beguiling evocation of the women that keeps dickens basic : the exuberant openness with which he expresses its most basic emotions.
"maybe leblanc thought, ` ` hey, the movie about the baseball - playing monkey was worse.''","maybe leblanc in, ` ` hey, the movie about the baseball - playing monkey was unsuitable.'"""
"coy but exhilarating, with really solid performances by ving rhames and wesley snipes.","coy but exhilarating, with nice solid performances by ving rhames and wesley snipes."
what's really sad is to see two academy award winning actresses - lrb - and one academy award winning actor - rrb - succumb to appearing in this junk that's tv sitcom material at best.,what's really reluctant is to see two academy award winning actresses - lws - and one academy award winning actress - messb — succumb to appearing in this picture that's tv sitcom material at best.
well - meaning but inert.,well [ meaning but inert.
doesn't do more than expand a tv show to movie length.,does create't do more than expand a tv show to movie length.
"ah, what the hell.","ah, and the hell?"
cho's timing is priceless.,there's timing is priceless.
"if it's unnerving suspense you're after - - you'll find it with ring, an indisputably spooky film ; with a screenplay to die for.","nice it's unnerving hints you're after - - you'll find it with ring, an indisputably spooky film ; with a screenplay to die for."
"for those of an indulgent, slightly sunbaked and summery mind, sex and lucia may well prove diverting enough.","for those of an indulgent, slightly sunbaked and summery mind, sex and lucia may well prove importing enough."
a true pleasure.,a true comedy.
the result might look like vulgar.,"the result might look like ""."
"all the actors are good in pauline & paulette but van der groen, described as ` belgium's national treasure,'is especially terrific as pauline.","all the actors are good in pauline & paul? but van der groel, described as ` belgium's national treasure,'is especially anonymous as pauline."
but what is missing from it all is a moral.,but feel is missing from it all is a moral dilemma
"a family film that contains some hefty thematic material on time, death, eternity, and what is needed to live a rich and full life.","a family film that contains some genuinefty thematic material on time, death, eternity, and what is needed to live a rich and full life."
"the main characters are simply named the husband, the wife and the kidnapper, emphasizing the disappointingly generic nature of the entire effort.","the main characters are simply named the husband, the wife and the kidnapper, combined the disappointingly awful nature of the entire effort."
"deep down, i realized the harsh reality of my situation : i would leave the theater with a lower i. q. than when i had entered.","deep down, i realized the harsh reality of my situation : i went leave the theater with a worse i. q. than when i had entered."
well - meant but unoriginal.,well - meant and cartoonriginal.
there's something not entirely convincing about the quiet american.,there's something not entirely compelling about the bro american.
seagal is painfully foolish in trying to hold onto what's left of his passe'chopsocky glory.,seagal is routinely hiroshi in trying to hold onto what's left of his passe'chopawaycky glory.
